precinct;social_estate;num
1;Дворянское;8
1;Духовное;1
1;Военное;11
1;Городское;251
1;Сельское;17
1;Иностранные подданные;1
1;Иногородцы;1
1;Юридические лица;16
2;Дворянское;50
2;Духовное;11
2;Военное;16
2;Городское;258
2;Сельское;7
2;Иностранные подданные;8
2;Иногородцы;7
2;Юридические лица;45
3;Дворянское;26
3;Духовное;8
3;Военное;35
3;Городское;586
3;Сельское;189
3;Иностранные подданные;0
3;Иногородцы;0
3;Юридические лица;22
4;Дворянское;89
4;Духовное;22
4;Военное;106
4;Городское;822
4;Сельское;122
4;Иностранные подданные;1
4;Иногородцы;0
4;Юридические лица;19
5;Дворянское;64
5;Духовное;27
5;Военное;77
5;Городское;892
5;Сельское;130
5;Иностранные подданные;50
5;Иногородцы;7
5;Юридические лица;22
6;Дворянское;29
6;Духовное;14
6;Военное;218
6;Городское;1071
6;Сельское;332
6;Иностранные подданные;3
6;Иногородцы;51
6;Юридические лица;30
