precinct;buildings_parameters;num
1;Кол-во комнат;5151
1;Кол-во входов;1981
1;Кол-во окон;8864
1;Кол-во печей;2594
2;Кол-во комнат;7740
2;Кол-во входов;2800
2;Кол-во окон;13733
2;Кол-во печей;4089
3;Кол-во комнат;9923
3;Кол-во входов;4090
3;Кол-во окон;18031
3;Кол-во печей;4975
4;Кол-во комнат;9985
4;Кол-во входов;3908
4;Кол-во окон;18157
4;Кол-во печей;4900
5;Кол-во комнат;11118
5;Кол-во входов;4969
5;Кол-во окон;21019
5;Кол-во печей;5617
6;Кол-во комнат;10234
6;Кол-во входов;4964
6;Кол-во окон;21084
6;Кол-во печей;5614
