precinct;gender;age_category;num
1;Мужской;до 1 года;65
1;Мужской;5 лет;260
1;Мужской;10;298
1;Мужской;15;371
1;Мужской;20;583
1;Мужской;25;552
1;Мужской;30;807
1;Мужской;35;711
1;Мужской;40;691
1;Мужской;45;480
1;Мужской;50;409
1;Мужской;55;311
1;Мужской;60;204
1;Мужской;65;154
1;Мужской;70;83
1;Мужской;75;41
1;Мужской;80;17
1;Мужской;85;11
1;Мужской;90;4
1;Мужской;95;2
1;Мужской;100;0
1;Мужской;От 100;0
1;Женский;до 1 года;79
1;Женский;5 лет;270
1;Женский;10;318
1;Женский;15;281
1;Женский;20;334
1;Женский;25;358
1;Женский;30;478
1;Женский;35;373
1;Женский;40;381
1;Женский;45;275
1;Женский;50;228
1;Женский;55;211
1;Женский;60;106
1;Женский;65;128
1;Женский;70;60
1;Женский;75;54
1;Женский;80;12
1;Женский;85;7
1;Женский;90;4
1;Женский;95;2
1;Женский;100;0
1;Женский;От 100;1
2;Мужской;до 1 года;96
2;Мужской;5 лет;335
2;Мужской;10;361
2;Мужской;15;611
2;Мужской;20;666
2;Мужской;25;924
2;Мужской;30;595
2;Мужской;35;496
2;Мужской;40;416
2;Мужской;45;305
2;Мужской;50;276
2;Мужской;55;213
2;Мужской;60;157
2;Мужской;65;123
2;Мужской;70;76
2;Мужской;75;36
2;Мужской;80;17
2;Мужской;85;8
2;Мужской;90;4
2;Мужской;95;0
2;Мужской;100;0
2;Мужской;От 100;0
2;Женский;до 1 года;96
2;Женский;5 лет;312
2;Женский;10;439
2;Женский;15;437
2;Женский;20;604
2;Женский;25;555
2;Женский;30;496
2;Женский;35;414
2;Женский;40;380
2;Женский;45;310
2;Женский;50;267
2;Женский;55;249
2;Женский;60;181
2;Женский;65;144
2;Женский;70;92
2;Женский;75;61
2;Женский;80;17
2;Женский;85;18
2;Женский;90;6
2;Женский;95;3
2;Женский;100;1
2;Женский;От 100;1
3;Мужской;до 1 года;308
3;Мужской;5 лет;781
3;Мужской;10;898
3;Мужской;15;773
3;Мужской;20;924
3;Мужской;25;796
3;Мужской;30;1150
3;Мужской;35;1230
3;Мужской;40;1167
3;Мужской;45;786
3;Мужской;50;676
3;Мужской;55;526
3;Мужской;60;295
3;Мужской;65;279
3;Мужской;70;125
3;Мужской;75;106
3;Мужской;80;22
3;Мужской;85;17
3;Мужской;90;9
3;Мужской;95;0
3;Мужской;100;0
3;Мужской;От 100;1
3;Женский;до 1 года;249
3;Женский;5 лет;733
3;Женский;10;852
3;Женский;15;667
3;Женский;20;864
3;Женский;25;691
3;Женский;30;967
3;Женский;35;866
3;Женский;40;797
3;Женский;45;587
3;Женский;50;526
3;Женский;55;413
3;Женский;60;270
3;Женский;65;269
3;Женский;70;115
3;Женский;75;119
3;Женский;80;25
3;Женский;85;38
3;Женский;90;6
