precinct;gender;nationality;physical_disability;num
1;Мужской;Русские;Слепые;6
1;Мужской;Русские;Глухие;7
1;Мужской;Русские;Немые;1
1;Мужской;Русские;Глухо-немые;3
1;Мужской;Русские;Идиоты;2
1;Мужской;Русские;Сумасшедшие;2
1;Женский;Русские;Слепые;9
1;Женский;Русские;Глухие;6
1;Женский;Русские;Немые;1
1;Женский;Русские;Глухо-немые;1
1;Женский;Русские;Идиоты;1
1;Женский;Русские;Сумасшедшие;1
2;Мужской;Русские;Слепые;7
2;Мужской;Русские;Глухие;4
2;Мужской;Русские;Немые;0
2;Мужской;Русские;Глухо-немые;4
2;Мужской;Русские;Идиоты;2
2;Мужской;Русские;Сумасшедшие;0
2;Женский;Русские;Слепые;9
2;Женский;Русские;Глухие;3
2;Женский;Русские;Немые;0
2;Женский;Русские;Глухо-немые;1
2;Женский;Русские;Идиоты;0
2;Женский;Русские;Сумасшедшие;2
3;Мужской;Русские;Слепые;19
3;Мужской;Русские;Глухие;13
3;Мужской;Русские;Немые;2
3;Мужской;Русские;Глухо-немые;6
3;Мужской;Русские;Идиоты;2
3;Мужской;Русские;Сумасшедшие;3
3;Женский;Русские;Слепые;19
3;Женский;Русские;Глухие;6
3;Женский;Русские;Немые;1
3;Женский;Русские;Глухо-немые;4
3;Женский;Русские;Идиоты;1
3;Женский;Русские;Сумасшедшие;7
4;Мужской;Русские;Слепые;17
4;Мужской;Русские;Глухие;15
4;Мужской;Русские;Немые;2
4;Мужской;Русские;Глухо-немые;5
4;Мужской;Русские;Идиоты;0
4;Мужской;Русские;Сумасшедшие;5
4;Женский;Русские;Слепые;9
4;Женский;Русские;Глухие;8
4;Женский;Русские;Немые;0
4;Женский;Русские;Глухо-немые;8
4;Женский;Русские;Идиоты;0
4;Женский;Русские;Сумасшедшие;1
5;Мужской;Русские;Слепые;12
5;Мужской;Русские;Глухие;1
5;Мужской;Русские;Немые;0
5;Мужской;Русские;Глухо-немые;2
5;Мужской;Русские;Идиоты;0
5;Мужской;Русские;Сумасшедшие;2
5;Женский;Русские;Слепые;13
5;Женский;Русские;Глухие;16
