precinct;employment_category;income_source;num
1;Промысловые занятия;Торговля;1221
1;Промысловые занятия;Ремесло;945
1;Промысловые занятия;Извоз;24
1;Промысловые занятия;Судовая служба;394
1;Смешанные занятия;Прислуга;709
1;Смешанные занятия;Чернорабочие;1448
1;Смешанные занятия;Частная служба;591
1;Непромысловые занятия;Государственная служба;80
1;Непромысловые занятия;Богослужение;5
1;Без личного заработка;Пенсия;47
1;Без личного заработка;Доход с денежного капитала;13
1;Без личного заработка;Доход с недвижимости;79
1;Без личного заработка;На средства родителей и родственников;3630
1;Без личного заработка;На счет благотворительности;104
1;Без личного заработка;Без определенного занятия;724
2;Промысловые занятия;Торговля;1050
2;Промысловые занятия;Ремесло;1270
2;Промысловые занятия;Извоз;58
2;Промысловые занятия;Судовая служба;127
2;Смешанные занятия;Прислуга;1261
2;Смешанные занятия;Чернорабочие;117
2;Смешанные занятия;Частная служба;760
2;Непромысловые занятия;Государственная служба;721
2;Непромысловые занятия;Богослужение;57
2;Без личного заработка;Пенсия;58
2;Без личного заработка;Доход с денежного капитала;41
2;Без личного заработка;Доход с недвижимости;118
2;Без личного заработка;На средства родителей и родственников;4871
2;Без личного заработка;На счет благотворительности;145
2;Без личного заработка;Без определенного занятия;144
3;Промысловые занятия;Торговля;1591
3;Промысловые занятия;Ремесло;2388
3;Промысловые занятия;Извоз;363
3;Промысловые занятия;Судовая служба;657
3;Смешанные занятия;Прислуга;843
3;Смешанные занятия;Чернорабочие;1697
3;Смешанные занятия;Частная служба;914
3;Непромысловые занятия;Государственная служба;52
3;Непромысловые занятия;Богослужение;18
3;Без личного заработка;Пенсия;37
3;Без личного заработка;Доход с денежного капитала;28
3;Без личного заработка;Доход с недвижимости;223
3;Без личного заработка;На средства родителей и родственников;10269
3;Без личного заработка;На счет благотворительности;206
3;Без личного заработка;Без определенного занятия;643
4;Промысловые занятия;Торговля;1301
4;Промысловые занятия;Ремесло;1722
4;Промысловые занятия;Извоз;238
4;Промысловые занятия;Судовая служба;78
4;Смешанные занятия;Прислуга;712
4;Смешанные занятия;Чернорабочие;615
4;Смешанные занятия;Частная служба;604
4;Непромысловые занятия;Государственная служба;227
4;Непромысловые занятия;Богослужение;59
4;Без личного заработка;Пенсия;157
4;Без личного заработка;Доход с денежного капитала;28
4;Без личного заработка;Доход с недвижимости;263
4;Без личного заработка;На средства родителей и родственников;7964
4;Без личного заработка;На счет благотворительности;197
4;Без личного заработка;Без определенного занятия;252
5;Промысловые занятия;Торговля;1684
5;Промысловые занятия;Ремесло;2114
5;Промысловые занятия;Извоз;763
5;Промысловые занятия;Судовая служба;47
5;Смешанные занятия;Прислуга;682
5;Смешанные занятия;Чернорабочие;1047
5;Смешанные занятия;Частная служба;610
5;Непромысловые занятия;Государственная служба;92
5;Непромысловые занятия;Богослужение;26
5;Без личного заработка;Пенсия;56
5;Без личного заработка;Доход с денежного капитала;35
5;Без личного заработка;Доход с недвижимости;266
5;Без личного заработка;На средства родителей и родственников;10658
5;Без личного заработка;На счет благотворительности;169
5;Без личного заработка;Без определенного занятия;248
6;Промысловые занятия;Торговля;1648
6;Промысловые занятия;Ремесло;2091
6;Промысловые занятия;Извоз;306
6;Промысловые занятия;Судовая служба;697
6;Смешанные занятия;Прислуга;427
6;Смешанные занятия;Чернорабочие;1603
6;Смешанные занятия;Частная служба;793
6;Непромысловые занятия;Государственная служба;43
6;Непромысловые занятия;Богослужение;19
6;Без личного заработка;Пенсия;111
6;Без личного заработка;Доход с денежного капитала;24
6;Без личного заработка;Доход с недвижимости;235
6;Без личного заработка;На средства родителей и родственников;12686
6;Без личного заработка;На счет благотворительности;144
6;Без личного заработка;Без определенного занятия;308
