precinct;gender;nationality;category;num
1;Мужской;Русские;Грамотные;2659
1;Мужской;Татары;Грамотные;74
1;Мужской;Армяне;Грамотные;75
1;Мужской;Евреи;Грамотные;61
1;Мужской;Немцы;Грамотные;53
1;Мужской;Персы;Грамотные;17
1;Мужской;Поляки;Грамотные;26
1;Мужской;Туркмены;Грамотные;0
1;Мужской;Киргизы;Грамотные;0
1;Мужской;Калмыки;Грамотные;1
1;Мужской;Мордвины;Грамотные;5
1;Мужской;Финны;Грамотные;3
1;Мужской;Греки;Грамотные;4
1;Мужской;Шведы;Грамотные;5
1;Мужской;Грузины;Грамотные;1
1;Мужской;Белоруссы;Грамотные;0
1;Мужской;Черкесы;Грамотные;2
1;Мужской;Французы;Грамотные;0
1;Мужской;Словаки;Грамотные;0
1;Мужской;Латыши;Грамотные;1
1;Мужской;Чехи;Грамотные;1
1;Мужской;Англичане;Грамотные;1
1;Мужской;Лезгины;Грамотные;0
1;Мужской;Чуваши;Грамотные;0
1;Мужской;Хивинцы;Грамотные;0
1;Мужской;Кроаты;Грамотные;0
1;Мужской;Осетины;Грамотные;0
1;Мужской;Сербы;Грамотные;0
1;Мужской;Норвежцы;Грамотные;0
1;Мужской;Датчане;Грамотные;0
1;Мужской;Румыны;Грамотные;0
1;Мужской;Черногорцы;Грамотные;1
1;Мужской;Зыряне;Грамотные;0
1;Мужской;Эстонцы;Грамотные;2
1;Мужской;Черемисы;Грамотные;1
1;Мужской;Литвины;Грамотные;0
2;Мужской;Русские;Грамотные;2233
2;Мужской;Татары;Грамотные;63
2;Мужской;Армяне;Грамотные;325
2;Мужской;Евреи;Грамотные;360
2;Мужской;Немцы;Грамотные;108
2;Мужской;Персы;Грамотные;66
2;Мужской;Поляки;Грамотные;55
2;Мужской;Туркмены;Грамотные;0
2;Мужской;Киргизы;Грамотные;0
2;Мужской;Калмыки;Грамотные;56
2;Мужской;Мордвины;Грамотные;0
2;Мужской;Финны;Грамотные;2
2;Мужской;Греки;Грамотные;2
2;Мужской;Шведы;Грамотные;1
2;Мужской;Грузины;Грамотные;1
2;Мужской;Белоруссы;Грамотные;2
2;Мужской;Черкесы;Грамотные;0
2;Мужской;Французы;Грамотные;1
2;Мужской;Словаки;Грамотные;3
2;Мужской;Латыши;Грамотные;5
2;Мужской;Чехи;Грамотные;1
2;Мужской;Англичане;Грамотные;0
2;Мужской;Лезгины;Грамотные;0
2;Мужской;Чуваши;Грамотные;0
2;Мужской;Хивинцы;Грамотные;0
2;Мужской;Кроаты;Грамотные;2
2;Мужской;Осетины;Грамотные;0
2;Мужской;Сербы;Грамотные;0
2;Мужской;Норвежцы;Грамотные;0
2;Мужской;Датчане;Грамотные;1
2;Мужской;Румыны;Грамотные;1
2;Мужской;Черногорцы;Грамотные;0
2;Мужской;Зыряне;Грамотные;0
2;Мужской;Эстонцы;Грамотные;0
2;Мужской;Черемисы;Грамотные;0
2;Мужской;Литвины;Грамотные;2
5;Мужской;Русские;Грамотные;1839
5;Мужской;Татары;Грамотные;421
5;Мужской;Армяне;Грамотные;721
5;Мужской;Евреи;Грамотные;34
5;Мужской;Немцы;Грамотные;86
5;Мужской;Персы;Грамотные;143
5;Мужской;Поляки;Грамотные;25
5;Мужской;Туркмены;Грамотные;1
5;Мужской;Киргизы;Грамотные;10
5;Мужской;Калмыки;Грамотные;0
5;Мужской;Мордвины;Грамотные;0
5;Мужской;Финны;Грамотные;1
5;Мужской;Греки;Грамотные;0
5;Мужской;Шведы;Грамотные;3
5;Мужской;Грузины;Грамотные;4
5;Мужской;Белоруссы;Грамотные;0
5;Мужской;Черкесы;Грамотные;1
5;Мужской;Французы;Грамотные;1
5;Мужской;Словаки;Грамотные;0
5;Мужской;Латыши;Грамотные;2
5;Мужской;Чехи;Грамотные;2
5;Мужской;Англичане;Грамотные;3
5;Мужской;Лезгины;Грамотные;0
5;Мужской;Чуваши;Грамотные;0
5;Мужской;Хивинцы;Грамотные;2
5;Мужской;Кроаты;Грамотные;0
5;Мужской;Осетины;Грамотные;0
5;Мужской;Сербы;Грамотные;1
5;Мужской;Норвежцы;Грамотные;0
5;Мужской;Датчане;Грамотные;0
5;Мужской;Румыны;Грамотные;0
5;Мужской;Черногорцы;Грамотные;0
5;Мужской;Зыряне;Грамотные;0
5;Мужской;Эстонцы;Грамотные;0
5;Мужской;Черемисы;Грамотные;0
5;Мужской;Литвины;Грамотные;1
6;Мужской;Русские;Грамотные;3317
6;Мужской;Татары;Грамотные;386
6;Мужской;Армяне;Грамотные;15
6;Мужской;Евреи;Грамотные;11
6;Мужской;Немцы;Грамотные;57
6;Мужской;Персы;Грамотные;3
6;Мужской;Поляки;Грамотные;15
6;Мужской;Туркмены;Грамотные;3
6;Мужской;Киргизы;Грамотные;1
6;Мужской;Калмыки;Грамотные;0
6;Мужской;Мордвины;Грамотные;0
6;Мужской;Финны;Грамотные;1
6;Мужской;Греки;Грамотные;1
6;Мужской;Шведы;Грамотные;3
6;Мужской;Грузины;Грамотные;0
6;Мужской;Белоруссы;Грамотные;3
6;Мужской;Черкесы;Грамотные;0
6;Мужской;Французы;Грамотные;1
6;Мужской;Словаки;Грамотные;2
6;Мужской;Латыши;Грамотные;1
6;Мужской;Чехи;Грамотные;3
6;Мужской;Англичане;Грамотные;0
6;Мужской;Лезгины;Грамотные;0
6;Мужской;Чуваши;Грамотные;0
6;Мужской;Хивинцы;Грамотные;0
6;Мужской;Кроаты;Грамотные;0
6;Мужской;Осетины;Грамотные;0
6;Мужской;Сербы;Грамотные;0
6;Мужской;Норвежцы;Грамотные;0
6;Мужской;Датчане;Грамотные;0
6;Мужской;Румыны;Грамотные;0
6;Мужской;Черногорцы;Грамотные;0
6;Мужской;Зыряне;Грамотные;0
6;Мужской;Эстонцы;Грамотные;0
6;Мужской;Черемисы;Грамотные;0
6;Мужской;Литвины;Грамотные;4
4;Мужской;Русские;Грамотные;2813
4;Мужской;Татары;Грамотные;35
4;Мужской;Армяне;Грамотные;223
4;Мужской;Евреи;Грамотные;24
4;Мужской;Немцы;Грамотные;37
4;Мужской;Персы;Грамотные;10
4;Мужской;Поляки;Грамотные;51
4;Мужской;Туркмены;Грамотные;0
4;Мужской;Киргизы;Грамотные;0
4;Мужской;Калмыки;Грамотные;0
4;Мужской;Мордвины;Грамотные;2
4;Мужской;Финны;Грамотные;1
4;Мужской;Греки;Грамотные;3
4;Мужской;Шведы;Грамотные;0
4;Мужской;Грузины;Грамотные;4
4;Мужской;Белоруссы;Грамотные;0
4;Мужской;Черкесы;Грамотные;0
4;Мужской;Французы;Грамотные;4
4;Мужской;Словаки;Грамотные;3
4;Мужской;Латыши;Грамотные;0
4;Мужской;Чехи;Грамотные;2
4;Мужской;Англичане;Грамотные;0
4;Мужской;Лезгины;Грамотные;0
4;Мужской;Чуваши;Грамотные;0
4;Мужской;Хивинцы;Грамотные;0
4;Мужской;Кроаты;Грамотные;0
4;Мужской;Осетины;Грамотные;0
4;Мужской;Сербы;Грамотные;1
4;Мужской;Норвежцы;Грамотные;0
4;Мужской;Датчане;Грамотные;0
4;Мужской;Румыны;Грамотные;0
4;Мужской;Черногорцы;Грамотные;0
4;Мужской;Зыряне;Грамотные;0
4;Мужской;Эстонцы;Грамотные;0
4;Мужской;Черемисы;Грамотные;0
4;Мужской;Литвины;Грамотные;1
3;Мужской;Русские;Грамотные;4046
3;Мужской;Татары;Грамотные;97
3;Мужской;Армяне;Грамотные;23
3;Мужской;Евреи;Грамотные;20
3;Мужской;Немцы;Грамотные;89
3;Мужской;Персы;Грамотные;8
3;Мужской;Поляки;Грамотные;20
3;Мужской;Туркмены;Грамотные;0
3;Мужской;Киргизы;Грамотные;0
3;Мужской;Калмыки;Грамотные;2
3;Мужской;Мордвины;Грамотные;0
3;Мужской;Финны;Грамотные;5
3;Мужской;Греки;Грамотные;8
3;Мужской;Шведы;Грамотные;2
3;Мужской;Грузины;Грамотные;0
3;Мужской;Белоруссы;Грамотные;0
3;Мужской;Черкесы;Грамотные;0
3;Мужской;Французы;Грамотные;1
3;Мужской;Словаки;Грамотные;0
3;Мужской;Латыши;Грамотные;2
3;Мужской;Чехи;Грамотные;3
3;Мужской;Англичане;Грамотные;1
3;Мужской;Лезгины;Грамотные;0
3;Мужской;Чуваши;Грамотные;1
3;Мужской;Хивинцы;Грамотные;0
3;Мужской;Кроаты;Грамотные;0
3;Мужской;Осетины;Грамотные;1
3;Мужской;Сербы;Грамотные;0
3;Мужской;Норвежцы;Грамотные;1
3;Мужской;Датчане;Грамотные;1
3;Мужской;Румыны;Грамотные;0
3;Мужской;Черногорцы;Грамотные;0
